batter,pa_result
정수빈,2루타
최주환,필드 아웃
오재일,포스 아웃
민병헌,포스 아웃
손아섭,2루타
전준우,내야안타
이대호,필드 아웃
채태인,필드 아웃
김재환,필드 아웃
페르난데스,포스 아웃
오재원,필드 아웃
윌슨,포스 아웃
문규현,안타
안중열,내야안타
강로한,2루타
민병헌,포스 아웃
손아섭,안타
전준우,안타
이대호,삼진
정진호,필드 아웃
장승현,볼넷
류지혁,병살타
채태인,2루타
윌슨,안타
문규현,필드 아웃
안중열,2루타
강로한,내야안타
민병헌,볼넷
손아섭,내야안타
전준우,필드 아웃
정수빈,안타
최주환,포스 아웃
오재일,안타
김재환,삼진
페르난데스,볼넷
오재원,포스 아웃
이대호,안타
채태인,필드 아웃
윌슨,안타
문규현,포스 아웃
안중열,삼진
정진호,포스 아웃
장승현,필드 아웃
류지혁,안타
정수빈,포스 아웃
강로한,포스 아웃
민병헌,몸에 맞는 볼
손아섭,삼진
전준우,필드 아웃
최주환,필드 아웃
오재일,2루타
김재환,필드 아웃
페르난데스,2루타
오재원,필드 아웃
이대호,안타
채태인,삼진
윌슨,포스 아웃
문규현,포스 아웃
정진호,포스 아웃
장승현,삼진
류지혁,포스 아웃
안중열,포스 아웃
강로한,몸에 맞는 볼
민병헌,안타
손아섭,희생플라이
전준우,포스 아웃
정수빈,안타
최주환,필드 아웃
오재일,포스 아웃
김재환,홈런
페르난데스,내야안타
오재원,포스 아웃
이대호,안타
정훈,안타
윌슨,삼진
문규현,안타
안중열,포스 아웃
신성현,안타
박세혁,필드 아웃
류지혁,삼진
정수빈,삼진
민병헌,안타
조홍석,삼진
전준우,홈런
이대호,필드 아웃
윌슨,포스 아웃
노수광,안타
한동민,내야안타
최정,몸에 맞는 볼
로맥,볼넷
고종욱,포스 아웃
김강민,내야안타
이재원,홈런
최항,내야안타
김성현,병살타
강로한,삼진
한동희,포스 아웃
나종덕,삼진
노수광,포스 아웃
한동민,포스 아웃
최정,필드 아웃
신본기,안타
민병헌,필드 아웃
손아섭,안타
전준우,홈런
이대호,안타
윌슨,삼진
강로한,삼진
로맥,홈런
고종욱,필드 아웃
김강민,안타
이재원,안타
최항,삼진
김성현,안타
노수광,볼넷
한동민,필드 아웃
한동희,안타
나종덕,삼진
신본기,삼진
민병헌,필드 아웃
최정,포스 아웃
로맥,볼넷
고종욱,필드 아웃
김강민,포스 아웃
손아섭,삼진
전준우,안타
이대호,필드 아웃
윌슨,삼진
이재원,실책
최항,볼넷
김성현,삼진
노수광,포스 아웃
한동민,볼넷
최정,필드 아웃
전병우,볼넷
한동희,볼넷
이병규,삼진
신본기,삼진
민병헌,필드 아웃
로맥,삼진
고종욱,포스 아웃
김강민,삼진
손아섭,포스 아웃
